IrE,ErE,Reward,Param,Value,Q-value
0.14,0.058,-1,infectionProbability,0.4,-2.268
0.276,0.276,-1,infectionProbability,0.8,-2.2736
0.134,0.176,-1,infectionProbability,0.6,-2.2826
0.224,0.09,-1,infectionProbability,0.2,-2.2961
0.34,0.33,-1,infectionProbability,0,-2.3124
0.38,0.27,-1,infectionProbability,1,-2.3195
0.142,0.064,-1,infectionProbability,0.4,-2.3227
0.34,0.324,-1,infectionProbability,0.8,-2.3281
0.094,0.15,-1,infectionProbability,0.6,-2.3369
0.242,0.09,-1,infectionProbability,0.2,-2.3502
0.366,0.358,-1,averageRoomVentilationRate,10,-1.9628
0.362,0.35,-1,averageRoomVentilationRate,2,-1.9816
0.152,0.216,-1,averageRoomVentilationRate,4,-2.0322
0.354,0.286,-1,averageRoomVentilationRate,6,-1.9893
0.174,0.056,-1,averageRoomVentilationRate,8,-2.021
0.256,0.128,-1,averageRoomVentilationRate,10,-2.0235
0.444,0.35,-1,averageRoomVentilationRate,0,-2.0296
0.342,0.35,-1,averageRoomVentilationRate,2,-2.0419
0.218,0.084,-1,averageRoomVentilationRate,6,-2.0495
0.352,0.32,-1,averageRoomVentilationRate,8,-2.0806
0.208,0.056,-1,averageRoomVentilationRate,10,-2.083
0.5,0.35,-1,averageRoomVentilationRate,0,-2.089
0.36,0.334,-1,averageRoomVentilationRate,4,-2.0916
0.322,0.35,-1,averageRoomVentilationRate,2,-2.1011
0.234,0.07,-1,averageRoomVentilationRate,6,-2.1085
0.36,0.318,-1,averageRoomVentilationRate,8,-2.139
0.268,0.35,-1,averageRoomVentilationRate,2,-2.1576
0.268,0.182,-1,averageRoomVentilationRate,10,-2.1414
0.5,0.35,-1,averageRoomVentilationRate,0,-2.1472
0.058,0.276,-1,averageRoomVentilationRate,4,-2.1497
0.3,0.102,-1,infectionProbability,0,-2.3661
0.5,0.35,-1,infectionProbability,1,-2.3731
0.226,0.338,-1,infectionProbability,0.4,-2.3762
0.222,0.236,-1,infectionProbability,0.8,-2.3815
0.482,0.35,-1,infectionProbability,0.6,-2.3902
0.062,0.272,-1,infectionProbability,0.2,-2.4031
0.214,0.232,-1,infectionProbability,0.8,-2.4327
0.3,0.122,-1,infectionProbability,0,-2.4188
0.472,0.346,-1,infectionProbability,1,-2.4256
0.276,0.198,-1,infectionProbability,0.4,-2.4287
0.496,0.35,-1,infectionProbability,0.8,-2.4806
0.296,0.34,-1,infectionProbability,0.6,-2.4424
0.33,0.186,-1,infectionProbability,0.2,-2.4551
0.3,0.142,-1,infectionProbability,0,-2.4704
0.412,0.346,-1,infectionProbability,1,-2.4771
0.374,0.268,-1,infectionProbability,0.4,-2.4801
0.476,0.35,-1,infectionProbability,0.6,-2.4935
